arquivo,100 KB,1.5 MB,500 MB,1 GB,2 GB,4 GB
log1,0.100938,0.127286,7.819323,15.503257,32.323622,61.931598
log2,0.001997,0.022984,7.956216,15.153784,29.776245,60.438725
log3,0.001998,0.021985,7.762630,15.112812,30.760410,61.817824
log4,0.001999,0.020985,7.365143,14.778579,30.250999,65.170666
log5,0.001999,0.021986,8.477805,15.597114,31.524408,66.266034
log6,0.001998,0.021610,7.849584,15.827418,30.573104,60.549306
log7,0.001998,0.023983,7.956083,16.713435,30.855386,60.482855
log8,0.001997,0.021985,7.420838,15.269759,32.645834,65.197415
log9,0.001990,0.021982,7.672074,16.600723,30.983449,60.884562
log10,0.002998,0.025984,7.880849,18.704105,32.700889,65.710036
