arquivo,100 KB,1.5 MB,500 MB,1 GB,2 GB,4 GB
log1,0.013992,0.309806,41.539564,48.797687,100.624082,197.934433
log2,0.004899,0.069494,25.490782,48.520063,99.797760,196.728514
log3,0.004995,0.073954,24.671108,49.882029,99.551834,199.185015
log4,0.003995,0.068938,24.798212,48.255157,98.266133,196.366634
log5,0.004997,0.068957,28.337358,58.206691,102.349221,205.104261
log6,0.004997,0.069955,25.662883,51.285367,100.401063,199.691169
log7,0.004995,0.118924,28.049214,50.458033,99.959455,200.011195
log8,0.005996,0.068159,24.768905,53.027976,100.258629,197.410461
log9,0.004995,0.070105,25.500751,49.381945,98.406052,196.842073
log10,0.005994,0.073955,25.755268,67.285556,107.509428,218.534284
